timestamp,open,high,low,close,volume
2025-05-09 07:15:00,2291.4,2298.6,2291.4,2293.1,5.1435
2025-05-09 07:30:00,2293.1,2293.1,2293.1,2293.1,0.0
2025-05-09 07:45:00,2293.1,2293.1,2293.1,2293.1,0.0
2025-05-09 08:00:00,2293.1,2370.2,2293.1,2369.7,32.3353
2025-05-09 08:15:00,2378.1,2415.7,2375.1,2401.8,6.7763
2025-05-09 08:30:00,2415.3,2454.7,2415.3,2427.4,0.9258
2025-05-09 08:45:00,2427.4,2427.4,2403.2,2408.1,1.0309
2025-05-09 09:00:00,2408.2,2422.4,2351.8,2358.9,3.8476
2025-05-09 09:15:00,2353.5,2358.4,2339.7,2339.7,0.1321
2025-05-09 09:30:00,2332.3,2340.4,2332.3,2340.4,0.3688
2025-05-09 09:45:00,2340.4,2340.5,2329.1,2339.5,0.3477
2025-05-09 10:00:00,2336.5,2354.0,2334.5,2354.0,0.266
2025-05-09 10:15:00,2334.7,2334.7,2334.6,2334.6,0.0049
2025-05-09 10:30:00,2337.5,2343.8,2336.1,2343.8,5.7832
2025-05-09 10:45:00,2345.0,2351.7,2344.8,2350.0,1.0467
2025-05-09 11:00:00,2344.9,2351.1,2343.9,2350.9,0.6979
2025-05-09 11:15:00,2360.6,2371.6,2327.5,2342.5,1.8977
2025-05-09 11:30:00,2347.6,2351.8,2347.6,2351.3,0.0144
2025-05-09 11:45:00,2354.5,2356.6,2348.0,2353.0,10.0251
2025-05-09 12:00:00,2350.0,2350.0,2330.0,2330.0,10.05
2025-05-09 12:15:00,2330.0,2330.0,2330.0,2330.0,0.0
2025-05-09 12:30:00,2345.0,2345.0,2340.0,2340.0,5.017
2025-05-09 12:45:00,2340.0,2340.0,2340.0,2340.0,0.0
2025-05-09 13:00:00,2340.0,2340.0,2340.0,2340.0,0.0
2025-05-09 13:15:00,2353.8,2353.8,2349.1,2349.1,1.399
2025-05-09 13:30:00,2345.0,2360.8,2340.0,2360.8,0.117
2025-05-09 13:45:00,2375.0,2375.0,2375.0,2375.0,0.01
2025-05-09 14:00:00,2370.0,2370.0,2350.0,2350.0,0.05
2025-05-09 14:15:00,2345.0,2345.6,2320.0,2321.8,2.2142
2025-05-09 14:30:00,2315.0,2315.0,2298.8,2298.8,1.3302
2025-05-09 14:45:00,2312.9,2312.9,2291.6,2301.5,13.1058
2025-05-09 15:00:00,2306.8,2321.4,2306.8,2319.9,0.86
2025-05-09 15:15:00,2321.6,2321.9,2293.9,2303.6,10.3151
2025-05-09 15:30:00,2304.0,2305.1,2290.8,2296.6,1.9917
2025-05-09 15:45:00,2298.4,2303.1,2290.6,2301.0,3.979
2025-05-09 16:00:00,2295.1,2297.7,2286.6,2297.7,50.9522
2025-05-09 16:15:00,2307.7,2310.9,2305.5,2307.2,1.2705
2025-05-09 16:30:00,2307.3,2316.3,2306.5,2313.3,1.2028
2025-05-09 16:45:00,2315.1,2315.1,2298.9,2301.1,1.8791
2025-05-09 17:00:00,2301.9,2318.4,2300.0,2317.3,1.2339
2025-05-09 17:15:00,2319.8,2331.8,2319.8,2328.9,1.4191
2025-05-09 17:30:00,2333.5,2340.0,2330.5,2340.0,1.1172
2025-05-09 17:45:00,2340.0,2352.4,2340.0,2351.5,14.5982
2025-05-09 18:00:00,2352.4,2352.8,2340.0,2341.3,0.7262
2025-05-09 18:15:00,2344.8,2344.8,2335.1,2337.3,5.1282
2025-05-09 18:30:00,2336.4,2345.4,2336.4,2341.6,0.905
2025-05-09 18:45:00,2341.9,2346.2,2341.9,2344.0,0.5004
2025-05-09 19:00:00,2344.0,2344.0,2344.0,2344.0,0.0
2025-05-09 19:15:00,2327.5,2327.5,2324.1,2324.1,10.2721
2025-05-09 19:30:00,2323.1,2323.1,2323.0,2323.0,3.0647
2025-05-09 19:45:00,2325.0,2329.6,2321.9,2328.7,2.0386
2025-05-09 20:00:00,2342.6,2342.6,2342.6,2342.6,0.1
2025-05-09 20:15:00,2342.6,2351.0,2341.0,2351.0,0.0706
2025-05-09 20:30:00,2332.4,2335.0,2332.3,2335.0,0.1543
